p,Amount of sets in solution (indices),Elements that actually got covered,Elements that need to get covered,Percentage,Time elapsed in sec
1.05,30942,25143,29181,0.8616222884753778,145.101
1.1,34183,25175,29181,0.8627188924300059,150.167
1.15,42440,27895,29181,0.9559302285733868,191.86
1.2,44451,27485,29181,0.9418799904047154,192.805
1.25,47606,28021,29181,0.9602481066447346,206.691
1.3,8,419,29181,0.014358658030910524,4.877
1.35,8,419,29181,0.014358658030910524,4.592
1.4,53158,28760,29181,0.9855728042219253,213.812
1.45,18,724,29181,0.024810664473458758,4.12
1.5,24,894,29181,0.030636372982420067,4.033
1.55,51087,28409,29181,0.9735444295945992,203.005
1.6,52152,29055,29181,0.9956821219286522,207.033
1.65,38,1210,29181,0.04146533703437168,3.689
1.7,48548,28153,29181,0.9647715979575752,190.116
1.75,78,1868,29181,0.06401425585141017,3.68
1.8,51697,28783,29181,0.9863609883143141,192.882
1.85,23321,18729,29181,0.6418217333196258,103.952
1.9,116,2307,29181,0.0790582913539632,3.638
1.95,49650,28284,29181,0.9692608203968336,187.6
2.0,49225,28264,29181,0.968575442925191,183.408
